C,C,W,W,W,D,D,G,UTIL,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,RW,Jesper Bratt (36808893),Jesper Bratt,36808893,W/UTIL,7100,STL@NJD 11/27/2024 07:00PM ET,NJD,13.34
,,,,,,,,,,G,Jordan Binnington (36810059),Jordan Binnington,36810059,G,7100,STL@NJD 11/27/2024 07:00PM ET,STL,9.14
,,,,,,,,,,G,Joel Hofer (36810060),Joel Hofer,36810060,G,7100,STL@NJD 11/27/2024 07:00PM ET,STL,13.24
,,,,,,,,,,G,Jonathan Quick (36810058),Jonathan Quick,36810058,G,7100,NYR@CAR 11/27/2024 07:00PM ET,NYR,19.25
,,,,,,,,,,G,Joseph Woll (36810057),Joseph Woll,36810057,G,7100,TOR@FLA 11/27/2024 07:30PM ET,TOR,14.26
,,,,,,,,,,G,Cayden Primeau (36810054),Cayden Primeau,36810054,G,7100,MTL@CBJ 11/27/2024 07:30PM ET,MTL,1.88
,,,,,,,,,,G,Carey Price (36810055),Carey Price,36810055,G,7100,MTL@CBJ 11/27/2024 07:30PM ET,MTL,0
,,,,,,,,,,G,Ivan Fedotov (36810056),Ivan Fedotov,36810056,G,7100,PHI@NSH 11/27/2024 08:00PM ET,PHI,7.4
,,,,,,,,,,C,Connor Bedard (36808561),Connor Bedard,36808561,C/UTIL,7100,DAL@CHI 11/27/2024 08:30PM ET,CHI,9.80
,,,,,,,,,,RW,Mark Stone (36808895),Mark Stone,36808895,W/UTIL,7000,VGK@COL 11/27/2024 10:00PM ET,VGK,14.32
,,,,,,,,,,G,Robin Lehner (36810062),Robin Lehner,36810062,G,7000,VGK@COL 11/27/2024 10:00PM ET,VGK,0
,,,,,,,,,,C,Dylan Larkin (36808563),Dylan Larkin,36808563,C/UTIL,7000,CGY@DET 11/27/2024 07:30PM ET,DET,10.60
,,,,,,,,,,G,Lukas Dostal (36810061),Lukas Dostal,36810061,G,7000,ANA@SEA 11/27/2024 10:00PM ET,ANA,16.72
,,,,,,,,,,G,MacKenzie Blackwood (36810063),MacKenzie Blackwood,36810063,G,7000,OTT@SJS 11/27/2024 10:30PM ET,SJS,12.64
,,,,,,,,,,G,Vitek Vanecek (36810064),Vitek Vanecek,36810064,G,7000,OTT@SJS 11/27/2024 10:30PM ET,SJS,11.06
,,,,,,,,,,D,Victor Hedman (36809507),Victor Hedman,36809507,D/UTIL,6900,WSH@TBL 11/27/2024 07:30PM ET,TBL,13.2
,,,,,,,,,,G,Aleksei Kolosov (36810066),Aleksei Kolosov,36810066,G,6900,PHI@NSH 11/27/2024 08:00PM ET,PHI,5.96
,,,,,,,,,,G,Samuel Ersson (36810067),Samuel Ersson,36810067,G,6900,PHI@NSH 11/27/2024 08:00PM ET,PHI,10.39
,,,,,,,,,,G,Petr Mrazek (36810065),Petr Mrazek,36810065,G,6900,DAL@CHI 11/27/2024 08:30PM ET,CHI,12.69
,,,,,,,,,,RW,Adrian Kempe (36808897),Adrian Kempe,36808897,W/UTIL,6900,WPG@LAK 11/27/2024 10:00PM ET,LAK,11.69
,,,,,,,,,,C,Tim Stuetzle (36808565),Tim Stuetzle,36808565,C/UTIL,6900,OTT@SJS 11/27/2024 10:30PM ET,OTT,12.02
,,,,,,,,,,RW,Alex Tuch (36808901),Alex Tuch,36808901,W/UTIL,6800,MIN@BUF 11/27/2024 07:00PM ET,BUF,12.81
,,,,,,,,,,C,Nico Hischier (36808567),Nico Hischier,36808567,C/UTIL,6800,STL@NJD 11/27/2024 07:00PM ET,NJD,13.45
,,,,,,,,,,LW,Andrei Svechnikov (36808899),Andrei Svechnikov,36808899,W/UTIL,6800,NYR@CAR 11/27/2024 07:00PM ET,CAR,12.27
,,,,,,,,,,D,Brandon Montour (36809509),Brandon Montour,36809509,D/UTIL,6800,ANA@SEA 11/27/2024 10:00PM ET,SEA,12.64
,,,,,,,,,,G,John Gibson (36810068),John Gibson,36810068,G,6800,ANA@SEA 11/27/2024 10:00PM ET,ANA,14.68
,,,,,,,,,,G,Yaroslav Askarov (36810069),Yaroslav Askarov,36810069,G,6800,OTT@SJS 11/27/2024 10:30PM ET,SJS,17.35
,,,,,,,,,,D,Rasmus Andersson (36809511),Rasmus Andersson,36809511,D/UTIL,6700,CGY@DET 11/27/2024 07:30PM ET,CGY,13.12
,,,,,,,,,,RW,Matthew Tkachuk (36808903),Matthew Tkachuk,36808903,W/UTIL,6700,TOR@FLA 11/27/2024 07:30PM ET,FLA,10.94
,,,,,,,,,,LW,Carter Verhaeghe (36808905),Carter Verhaeghe,36808905,W/UTIL,6700,TOR@FLA 11/27/2024 07:30PM ET,FLA,10.76
,,,,,,,,,,G,Arvid Soderblom (36810070),Arvid Soderblom,36810070,G,6700,DAL@CHI 11/27/2024 08:30PM ET,CHI,14.58
,,,,,,,,,,G,Laurent Brossoit (36810071),Laurent Brossoit,36810071,G,6700,DAL@CHI 11/27/2024 08:30PM ET,CHI,0
,,,,,,,,,,C,Mark Scheifele (36808569),Mark Scheifele,36808569,C/UTIL,6700,WPG@LAK 11/27/2024 10:00PM ET,WPG,13.09
,,,,,,,,,,D,Dougie Hamilton (36809513),Dougie Hamilton,36809513,D/UTIL,6600,STL@NJD 11/27/2024 07:00PM ET,NJD,12.27
,,,,,,,,,,LW,Brandon Hagel (36808909),Brandon Hagel,36808909,W/UTIL,6600,WSH@TBL 11/27/2024 07:30PM ET,TBL,13.95
,,,,,,,,,,C,Evgeni Malkin (36808571),Evgeni Malkin,36808571,C/UTIL,6600,VAN@PIT 11/27/2024 07:30PM ET,PIT,10.24
,,,,,,,,,,RW,Cole Caufield (36808907),Cole Caufield,36808907,W/UTIL,6600,MTL@CBJ 11/27/2024 07:30PM ET,MTL,10.28
,,,,,,,,,,G,Devon Levi (36810077),Devon Levi,36810077,G,6500,MIN@BUF 11/27/2024 07:00PM ET,BUF,5.81
,,,,,,,,,,RW,Jordan Kyrou (36808911),Jordan Kyrou,36808911,W/UTIL,6500,STL@NJD 11/27/2024 07:00PM ET,STL,10.47
,,,,,,,,,,C,Vincent Trocheck (36808573),Vincent Trocheck,36808573,C/UTIL,6500,NYR@CAR 11/27/2024 07:00PM ET,NYR,8.44
,,,,,,,,,,LW,Alex DeBrincat (36808913),Alex DeBrincat,36808913,W/UTIL,6500,CGY@DET 11/27/2024 07:30PM ET,DET,10.03
,,,,,,,,,,D,MacKenzie Weegar (36809515),MacKenzie Weegar,36809515,D/UTIL,6500,CGY@DET 11/27/2024 07:30PM ET,CGY,12.65
,,,,,,,,,,G,Ville Husso (36810076),Ville Husso,36810076,G,6500,CGY@DET 11/27/2024 07:30PM ET,DET,-1.75
,,,,,,,,,,G,Dennis Hildeby (36810074),Dennis Hildeby,36810074,G,6500,TOR@FLA 11/27/2024 07:30PM ET,TOR,7.9
,,,,,,,,,,G,Joel Blomqvist (36810075),Joel Blomqvist,36810075,G,6500,VAN@PIT 11/27/2024 07:30PM ET,PIT,12.71
,,,,,,,,,,G,Kaapo Kahkonen (36810073),Kaapo Kahkonen,36810073,G,6500,WPG@LAK 11/27/2024 10:00PM ET,WPG,-2.8
,,,,,,,,,,G,Tomas Suchanek (36810072),Tomas Suchanek,36810072,G,6500,ANA@SEA 11/27/2024 10:00PM ET,ANA,0
,,,,,,,,,,LW,Jason Robertson (36808917),Jason Robertson,36808917,W/UTIL,6400,DAL@CHI 11/27/2024 08:30PM ET,DAL,8.65
